song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,playlist,Artist_and_Track_Name
73,262333,0.005520000000000001,0.496,0.682,2.94e-05,8,0.0589,-4.095,1,0.0294,167.06,4,0.474,00s Rock Anthems,Green Day - Boulevard of Broken Dreams
71,261266,0.00394,0.49,0.679,1.5399999999999998e-05,8,0.0383,-3.68,1,0.0309,167.046,4,0.506,00s Rock Anthems,Green Day - In The End
73,262333,0.005520000000000001,0.496,0.682,2.94e-05,8,0.0589,-4.095,1,0.0294,167.06,4,0.474,Life Sucks,Green Day - Seven Nation Army
71,261266,0.00394,0.49,0.679,1.5399999999999998e-05,8,0.0383,-3.68,1,0.0309,167.046,4,0.506,Life Sucks,Green Day - By The Way
66,216933,0.0103,0.542,0.853,0.0,3,0.108,-6.407,0,0.0498,105.256,4,0.37,00s Rock Anthems,Linkin Park - How You Remind Me
76,231733,0.00817,0.737,0.463,0.447,0,0.255,-7.8279999999999985,1,0.0792,123.881,4,0.324,00s Rock Anthems,The White Stripes - Bring Me To Life
64,172919,0.8909999999999999,0.69,0.28300000000000003,0.000386,2,0.111,-7.309,1,0.0294,104.348,4,0.35,00s Rock Anthems,The White Stripes - Last Resort
81,231920,0.006659999999999999,0.745,0.466,0.35,4,0.272,-7.62,0,0.0864,123.889,4,0.303,00s Rock Anthems,The White Stripes - Are You Gonna Be My Girl
81,231920,0.006659999999999999,0.745,0.466,0.35,4,0.272,-7.62,0,0.0864,123.889,4,0.303,00s Rock Anthems,The White Stripes - Mr. Brightside
19,231800,0.00576,0.75,0.462,0.545,0,0.307,-7.664,1,0.0779,123.865,4,0.309,00s Rock Anthems,The White Stripes - Sex on Fire
45,232626,0.0059700000000000005,0.745,0.464,0.41,4,0.239,-7.5870000000000015,0,0.08199999999999999,123.893,4,0.297,00s Rock Anthems,The White Stripes - The Middle
76,231733,0.00817,0.737,0.463,0.447,0,0.255,-7.8279999999999985,1,0.0792,123.881,4,0.324,Acoustic Covers,Zella Day - Numb
64,172919,0.8909999999999999,0.69,0.28300000000000003,0.000386,2,0.111,-7.309,1,0.0294,104.348,4,0.35,Acoustic Covers,Zella Day - Smooth Criminal
81,231920,0.006659999999999999,0.745,0.466,0.35,4,0.272,-7.62,0,0.0864,123.889,4,0.303,Acoustic Covers,Zella Day - Can't Stop
