song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,album_names,playlist,Artist_and_Track_Name
74,216933,0.0264,0.451,0.97,0.00355,0,0.102,-4.938,1,0.107,122.444,4,0.198,By The Way (Deluxe Version),00s Rock Anthems,Red Hot Chili Peppers - By The Way
81,199893,0.000504,0.581,0.887,0.00111,4,0.268,-3.659,0,0.0624,90.578,4,0.7240000000000001,Infest,00s Rock Anthems,Papa Roach - Last Resort
81,269000,0.0179,0.618,0.938,0.0,9,0.16699999999999998,-3.442,1,0.0456,91.455,4,0.875,By The Way (Deluxe Version),00s Rock Anthems,Red Hot Chili Peppers - Can't Stop
71,227240,0.00136,0.659,0.778,6.79e-06,11,0.0841,-6.422999999999999,1,0.0379,110.022,4,0.623,blink-182,00s Rock Anthems,blink-182 - I Miss You
62,256600,0.00701,0.37,0.944,2.9e-06,1,0.135,-4.979,0,0.0767,130.315,4,0.345,Best Of You,00s Rock Anthems,Foo Fighters - Best of You
77,187613,0.0938,0.5670000000000001,0.795,0.0,9,0.114,-4.985,0,0.134,170.06,4,0.635,A Fever You Can't Sweat Out,00s Rock Anthems,Panic! At The Disco - I Write Sins Not Tragedies
79,232533,0.872,0.657,0.29100000000000004,0.0,2,0.114,-10.572,1,0.0293,103.973,4,0.298,All That We Needed,00s Rock Anthems,Plain White T's - Hey There Delilah
28,303920,0.0102,0.44,0.932,0.0,3,0.142,-4.488,0,0.0584,157.438,4,0.495,Come Clean (Repackaged International Version),00s Rock Anthems,Puddle Of Mudd - Blurry
77,311106,0.00028900000000000003,0.217,0.905,0.00011,2,0.222,-4.103,1,0.0752,96.95,4,0.236,The Black Parade,00s Rock Anthems,My Chemical Romance - Welcome to the Black Parade
11,262733,0.000194,0.5820000000000001,0.597,0.000273,5,0.517,-5.671,1,0.0512,167.738,4,0.674,ONE BY ONE,00s Rock Anthems,Foo Fighters - All My Life
11,269373,0.000917,0.433,0.959,0.0,9,0.028,-4.04,1,0.0431,172.984,4,0.365,"Echoes, Silence, Patience & Grace",00s Rock Anthems,Foo Fighters - The Pretender
79,229093,0.00898,0.499,0.8240000000000001,0.0,7,0.163,-4.7410000000000005,1,0.0794,161.977,4,0.6990000000000001,From Under The Cork Tree,00s Rock Anthems,"Fall Out Boy - Sugar, We're Goin Down"
72,256240,0.00834,0.563,0.86,0.0106,8,0.39,-7.532999999999999,1,0.0621,97.867,4,0.517,Satellite (U.S. Version WEA Distribution),00s Rock Anthems,P.O.D. - Youth Of The Nation
57,194520,0.000153,0.391,0.831,0.00192,2,0.141,-3.892,1,0.0613,139.946,4,0.6829999999999999,How To Dismantle An Atomic Bomb,00s Rock Anthems,U2 - Vertigo
71,270920,0.00014,0.468,0.769,0.00124,4,0.271,-7.0360000000000005,1,0.041,104.102,4,0.17,Issues,00s Rock Anthems,Korn - Falling Away from Me
67,246040,4.78e-05,0.213,0.93,0.0,0,0.126,-4.478,1,0.0671,169.22099999999998,4,0.386,Faceless,00s Rock Anthems,Godsmack - I Stand Alone
85,223583,0.235,0.701,0.512,5.07e-06,0,0.135,-6.869,0,0.0969,91.947,4,0.6629999999999999,Real Friends,100% LatinX,Camila Cabello - Real Friends
57,202373,0.107,0.398,0.66,0.0,1,0.121,-5.626,0,0.12,83.82799999999997,4,0.7190000000000001,Banana Clip (Spanish Version),100% LatinX,Miguel - Banana Clip - Spanish Version
65,209573,0.921,0.471,0.179,0.0,9,0.101,-10.273,1,0.08900000000000001,174.273,4,0.194,Sola,100% LatinX,Jessie Reyez - Sola
95,217822,0.172,0.635,0.902,0.0,0,0.125,-3.559,1,0.109,102.063,4,0.28600000000000003,BEBE,100% LatinX,6ix9ine - BEBE
95,253390,0.099,0.816,0.726,0.0,5,0.3720000000000001,-3.998,0,0.129,136.048,4,0.65,Invasion of Privacy,100% LatinX,Cardi B - I Like It
77,199095,0.398,0.7509999999999999,0.579,2.28e-05,2,0.133,-4.0360000000000005,1,0.0321,105.031,4,0.349,Havana (Remix),100% LatinX,Camila Cabello - Havana - Remix
75,202853,0.181,0.831,0.713,0.0,1,0.0572,-3.646,0,0.094,132.109,4,0.69,Sangria Wine,100% LatinX,Pharrell Williams - Sangria Wine
38,218448,0.006940000000000001,0.799,0.616,0.00237,5,0.28300000000000003,-4.599,0,0.0415,127.023,4,0.6970000000000001,Nice & Slow,100% LatinX,Nina Sky - Nice & Slow
84,217288,0.0185,0.7040000000000001,0.8590000000000001,0.0,5,0.0215,-4.877,0,0.0996,105.115,4,0.926,Finesse (Remix) [feat. Cardi B],100% LatinX,Bruno Mars - Finesse (Remix) [feat. Cardi B]
74,267266,0.202,0.8909999999999999,0.7140000000000001,0.000234,4,0.0521,-6.055,0,0.14,100.972,4,0.818,Justified,2000s Smash Hits,Justin Timberlake - Rock Your Body
60,198813,0.0279,0.774,0.847,0.0183,5,0.241,-3.925,0,0.121,143.011,4,0.923,Greatest Hits: My Prerogative,2000s Smash Hits,Britney Spears - Toxic
70,300026,0.342,0.672,0.8320000000000001,0.0004280000000000001,11,0.242,-2.388,0,0.342,117.298,4,0.5489999999999999,Michael Jackson x Mark Ronson: Diamonds are Invincible,2000s Smash Hits,Michael Jackson - Michael Jackson x Mark Ronson: Diamonds are Invincible
79,250373,0.0183,0.894,0.7909999999999999,0.0,2,0.0388,-4.699,1,0.112,105.018,4,0.583,Confessions (Special Edition),2000s Smash Hits,Usher - Yeah!
84,218093,0.284,0.778,0.8240000000000001,0.0,10,0.405,-5.892,0,0.0712,100.024,4,0.7559999999999999,Oral Fixation Vol. 2,2000s Smash Hits,Shakira - Hips Don't Lie
74,246026,0.132,0.775,0.7190000000000001,1.79e-06,7,0.0662,-6.2120000000000015,0,0.0435,117.513,4,0.7120000000000001,XSCAPE,2000s Smash Hits,Michael Jackson - Love Never Felt so Good
78,231240,0.00882,0.613,0.622,0.0,1,0.37,-5.794,0,0.0334,80.003,4,0.484,Bangerz (Deluxe Version),2000s Smash Hits,Miley Cyrus - We Can't Stop
76,235213,0.103,0.728,0.974,0.000532,4,0.175,-2.261,0,0.0665,79.52600000000002,4,0.965,Speakerboxxx/The Love Below,2000s Smash Hits,OutKast - Hey Ya! - Radio Mix / Club Mix
71,199693,0.0746,0.755,0.8320000000000001,1.27e-06,2,0.29100000000000004,-2.741,0,0.116,120.032,4,0.735,Animal,2000s Smash Hits,Kesha - TiK ToK
71,223933,0.0439,0.764,0.6940000000000001,3.67e-06,11,0.18,-5.745,0,0.189,146.075,4,0.581,Look At Me Now,2000s Smash Hits,Chris Brown - Look At Me Now
77,242733,0.0584,0.967,0.583,0.0,7,0.0519,-5.562,0,0.0789,117.0,4,0.964,FutureSex/LoveSounds,2000s Smash Hits,Justin Timberlake - SexyBack
69,252160,0.14300000000000002,0.659,0.696,0.0,3,0.13,-4.291,1,0.071,86.001,4,0.665,Exclusive,2000s Smash Hits,Chris Brown - With You
73,200400,0.031,0.61,0.926,0.0012,8,0.0821,-4.843,0,0.0479,172.638,4,0.861,No Strings Attached,2000s Smash Hits,*NSYNC - Bye Bye Bye
80,256733,0.235,0.6559999999999999,0.578,0.0,7,0.118,-8.97,0,0.0922,94.514,4,0.556,Let Me Love You,2000s Smash Hits,Mario - Let Me Love You
54,203306,0.00611,0.701,0.7,0.0,7,0.0295,-4.934,1,0.0876,122.035,4,0.625,Greatest Hits...So Far!!!,2000s Smash Hits,P!nk - Raise Your Glass
69,198053,0.00761,0.7290000000000001,0.7709999999999999,0.0,4,0.087,-2.451,1,0.0725,125.011,4,0.873,Up All Night,2000s Smash Hits,One Direction - What Makes You Beautiful
76,224400,0.073,0.7240000000000001,0.695,0.0,11,0.0889,-5.226,1,0.0622,139.0,4,0.235,Circus (Deluxe Version),2000s Smash Hits,Britney Spears - Womanizer
78,270506,0.142,0.843,0.805,0.0,4,0.0771,-5.9460000000000015,0,0.269,94.946,4,0.615,Stankonia,2000s Smash Hits,OutKast - Ms. Jackson
72,211920,0.00498,0.711,0.7,0.000125,1,0.215,-4.805,0,0.046,128.001,4,0.8009999999999999,Warrior (Deluxe Version),2000s Smash Hits,Kesha - Die Young
77,211160,0.3,0.7509999999999999,0.8340000000000001,1.77e-05,1,0.355,-5.444,0,0.0437,95.053,4,0.894,Oops!... I Did It Again,2000s Smash Hits,Britney Spears - Oops!...I Did It Again
77,288333,0.575,0.624,0.653,0.0,8,0.104,-6.582000000000002,0,0.17600000000000002,73.884,4,0.565,Justified,2000s Smash Hits,Justin Timberlake - Cry Me a River
78,203786,0.042,0.944,0.511,0.00107,5,0.0379,-10.96,0,0.161,113.046,4,0.8420000000000001,Goodies,2000s Smash Hits,"Ciara - One, Two Step"
74,221360,0.407,0.53,0.422,0.0,5,0.107,-6.2620000000000005,1,0.0342,119.964,4,0.349,Bangerz (Deluxe Version),2000s Smash Hits,Miley Cyrus - Wrecking Ball
65,215160,0.000304,0.535,0.8859999999999999,2.26e-06,11,0.257,-3.1060000000000003,1,0.045,126.012,4,0.445,Funhouse,2000s Smash Hits,P!nk - So What
76,196160,0.236,0.7929999999999999,0.8320000000000001,1.12e-05,1,0.202,-4.862,0,0.0406,107.661,4,0.872,Laundry Service,2000s Smash Hits,"Shakira - Whenever, Wherever"
67,192426,0.0407,0.636,0.873,1.27e-06,0,0.0372,-4.672,0,0.071,165.071,4,0.908,No Strings Attached,2000s Smash Hits,*NSYNC - It's Gonna Be Me
77,223440,0.257,0.662,0.507,0.0,5,0.0465,-8.238,1,0.118,86.412,4,0.6759999999999999,Confessions (Special Edition),2000s Smash Hits,Usher - My Boo
60,236373,0.0204,0.591,0.6990000000000001,0.0,8,0.0614,-5.221,1,0.0449,116.029,4,0.733,Over My Head (Cable Car),2000s Smash Hits,The Fray - Over My Head (Cable Car)
83,262533,0.269,0.64,0.743,0.0,10,0.101,-4.08,1,0.0379,122.035,4,0.361,How To Save A Life,2000s Smash Hits,The Fray - How to Save a Life
69,218520,0.255,0.63,0.894,0.0,10,0.181,-4.592,1,0.0544,142.05100000000004,4,0.364,Sweeter,2000s Smash Hits,Gavin DeGraw - Not Over You
31,224946,0.0251,0.815,0.8079999999999999,5.37e-06,6,0.12,-4.614,1,0.0511,110.063,4,0.746,Caught Up,2000s Smash Hits,Usher - Caught Up
76,241853,0.0187,0.338,0.8029999999999999,0.0,8,0.136,-5.412000000000001,0,0.0413,151.994,4,0.4,The Fray,2000s Smash Hits,The Fray - You Found Me
67,191666,0.00127,0.8059999999999999,0.902,0.0,11,0.212,-3.387,0,0.0475,128.94299999999998,4,0.961,M!ssundaztood,2000s Smash Hits,P!nk - Get The Party Started
63,217760,0.007909999999999999,0.423,0.862,0.0,0,0.133,-5.13,0,0.0695,154.746,4,0.462,Chariot - Stripped,2000s Smash Hits,Gavin DeGraw - I Don't Want to Be
68,234000,0.126,0.871,0.597,0.000115,5,0.0638,-4.932,0,0.0464,125.999,4,0.635,Speakerboxxx/The Love Below,2000s Smash Hits,OutKast - The Way You Move (feat. Sleepy Brown) - Club Mix
78,249626,0.0206,0.647,0.7290000000000001,0.0489,5,0.134,-6.251,1,0.0236,94.01,4,0.687,Room For Squares,2000s Smash Hits,John Mayer - Your Body Is a Wonderland
61,164120,0.455,0.5479999999999999,0.688,0.0,7,0.07200000000000001,-6.053,1,0.0372,179.842,4,0.813,La Leyenda (Version Super Deluxe),50 Latin Classics,Selena - Amor Prohibido
84,218093,0.284,0.778,0.8240000000000001,0.0,10,0.405,-5.892,0,0.0712,100.024,4,0.7559999999999999,Oral Fixation Vol. 2,50 Latin Classics,Shakira - Hips Don't Lie
77,189440,0.0179,0.774,0.687,1.17e-05,11,0.128,-4.8180000000000005,0,0.0584,104.959,4,0.308,Mi Gente,50 Latin Classics,J Balvin - Mi Gente
77,192600,0.332,0.857,0.8009999999999999,1.2e-06,0,0.0789,-6.499,1,0.0618,96.009,4,0.753,Barrio Fino (Bonus Track Version),50 Latin Classics,Daddy Yankee - Gasolina
73,243160,0.00411,0.425,0.954,0.0,1,0.0555,-3.756,0,0.0476,178.043,4,0.933,Ricky Martin,50 Latin Classics,Ricky Martin - Livin' la Vida Loca
69,198706,0.328,0.397,0.785,0.00495,2,0.0621,-9.168,0,0.0545,96.333,4,0.6459999999999999,My Generation,60s Rock Anthems,The Who - My Generation - Stereo Version
77,425653,0.0112,0.386,0.607,1.3800000000000003e-05,10,0.08800000000000001,-7.7,1,0.0261,147.207,4,0.532,1 (Remastered),60s Rock Anthems,The Beatles - Hey Jude - Remastered 2015
61,163466,0.00102,0.51,0.893,5.85e-05,9,0.201,-9.267,1,0.0342,142.657,4,0.934,Back In The U.S.S.R.,60s Rock Anthems,The Beatles - Back In The U.S.S.R. - 2018 Mix
61,193493,0.255,0.735,0.52,0.0,11,0.106,-6.18,1,0.0371,118.441,4,0.688,Anthology: The Best Of Marvin Gaye,60s Rock Anthems,Marvin Gaye - I Heard It Through The Grapevine - Single Version (Mono)
68,173946,0.27,0.491,0.8009999999999999,0.0,4,0.0665,-9.835,1,0.0361,160.109,4,0.971,Please Please Me (Remastered),60s Rock Anthems,The Beatles - I Saw Her Standing There - Remastered 2009
69,180943,0.0192,0.537,0.716,0.0,2,0.245,-8.766,1,0.038,122.873,4,0.452,Tommy (Remastered 2013 Super Deluxe Edition),60s Rock Anthems,The Who - Pinball Wizard
74,145746,0.386,0.49,0.715,0.0,7,0.311,-5.549,1,0.0476,130.726,4,0.866,1 (Remastered),60s Rock Anthems,The Beatles - I Want To Hold Your Hand - Remastered 2015
74,125666,0.879,0.332,0.179,0.0,5,0.0886,-11.83,1,0.0326,96.529,4,0.315,Help! (Remastered),60s Rock Anthems,The Beatles - Yesterday - Remastered 2009
67,205293,0.0734,0.407,0.8340000000000001,0.00021,6,0.241,-9.224,1,0.208,121.38,4,0.71,The Beatles 1967 - 1970 (Remastered),60s Rock Anthems,The Beatles - Revolution - Remastered
67,140920,0.26,0.377,0.916,0.0,4,0.07400000000000001,-3.199,0,0.0481,75.533,4,0.912,1 (Remastered),60s Rock Anthems,The Beatles - She Loves You - Mono / Remastered
67,164106,0.365,0.705,0.515,0.0,4,0.389,-9.343,1,0.0337,112.035,4,0.8029999999999999,Sgt. Pepper's Lonely Hearts Club Band (Remastered),60s Rock Anthems,The Beatles - With A Little Help From My Friends - Remastered 2009
33,174573,0.211,0.438,0.754,0.0,2,0.124,-7.035,1,0.0381,123.744,4,0.435,The Early Years 1965-1967 CAMBRIDGE ST/ATION,60s Rock Anthems,Pink Floyd - See Emily Play - 2016 Remastered Version
73,256000,0.219,0.63,0.449,0.0,5,0.0622,-13.243,1,0.0252,84.37799999999999,4,0.623,Full Moon Fever,70s & 80s Acoustic,Tom Petty - Free Fallin'
83,391376,0.00574,0.579,0.508,0.0004940000000000001,2,0.0575,-9.484,1,0.027000000000000003,147.125,4,0.609,Hotel California (Remastered),70s & 80s Acoustic,Eagles - Hotel California - Remastered
53,268706,0.6809999999999999,0.695,0.282,0.0267,9,0.0767,-15.359000000000002,1,0.0295,91.681,4,0.445,Greatest Hits,70s & 80s Acoustic,James Taylor - You've Got A Friend
72,155880,0.589,0.62,0.446,0.0299,1,0.0727,-14.451,0,0.0347,88.59100000000002,4,0.868,Born In The U.S.A.,70s & 80s Acoustic,Bruce Springsteen - I'm on Fire
80,281613,0.386,0.602,0.522,1.44e-05,10,0.0941,-9.031,1,0.0285,136.637,4,0.36,Honky Chateau,70s & 80s Acoustic,"Elton John - Rocket Man (I Think It's Going To Be A Long, Long Time)"
77,336453,0.551,0.446,0.239,4.1e-06,0,0.0697,-13.945,1,0.0316,189.507,4,0.298,Face Value (Deluxe Editon),70s & 80s Acoustic,Phil Collins - In The Air Tonight - 2015 Remastered
65,286880,0.743,0.664,0.5529999999999999,0.00978,9,0.0838,-7.723,1,0.0264,112.52,4,0.287,Best Of Chris Isaak,70s & 80s Acoustic,Chris Isaak - Wicked Game - Remastered
78,243026,0.631,0.443,0.403,0.0,0,0.111,-8.339,1,0.0322,143.46200000000005,4,0.41,Let It Be (Remastered),70s & 80s Acoustic,The Beatles - Let It Be - Remastered 2009
66,228133,0.361,0.257,0.412,8.68e-05,1,0.0702,-11.788,1,0.0287,152.126,4,0.858,Let It Be (Remastered),70s & 80s Acoustic,The Beatles - Across The Universe - Remastered 2009
83,391376,0.00574,0.579,0.508,0.0004940000000000001,2,0.0575,-9.484,1,0.027000000000000003,147.125,4,0.609,Hotel California (Remastered),70s Rock Anthems,Eagles - Hotel California - Remastered
63,381626,0.299,0.653,0.631,0.00265,9,0.0627,-11.334,1,0.0461,156.32,4,0.516,Who Are You,70s Rock Anthems,The Who - Who Are You
