song_name,artist_name,album_names,playlist
By The Way,Red Hot Chili Peppers,By The Way (Deluxe Version),00s Rock Anthems
Last Resort,Papa Roach,Infest,00s Rock Anthems
Can't Stop,Red Hot Chili Peppers,By The Way (Deluxe Version),00s Rock Anthems
I Miss You,blink-182,blink-182,00s Rock Anthems
Best of You,Foo Fighters,Best Of You,00s Rock Anthems
I Write Sins Not Tragedies,Panic! At The Disco,A Fever You Can't Sweat Out,00s Rock Anthems
Hey There Delilah,Plain White T's,All That We Needed,00s Rock Anthems
Blurry,Puddle Of Mudd,Come Clean (Repackaged International Version),00s Rock Anthems
Welcome to the Black Parade,My Chemical Romance,The Black Parade,00s Rock Anthems
All My Life,Foo Fighters,ONE BY ONE,00s Rock Anthems
The Pretender,Foo Fighters,"Echoes, Silence, Patience & Grace",00s Rock Anthems
"Sugar, We're Goin Down",Fall Out Boy,From Under The Cork Tree,00s Rock Anthems
Youth Of The Nation,P.O.D.,Satellite (U.S. Version WEA Distribution),00s Rock Anthems
Vertigo,U2,How To Dismantle An Atomic Bomb,00s Rock Anthems
Falling Away from Me,Korn,Issues,00s Rock Anthems
I Stand Alone,Godsmack,Faceless,00s Rock Anthems
Real Friends,Camila Cabello,Real Friends,100% LatinX
Banana Clip - Spanish Version,Miguel,Banana Clip (Spanish Version),100% LatinX
Sola,Jessie Reyez,Sola,100% LatinX
BEBE,6ix9ine,BEBE,100% LatinX
I Like It,Cardi B,Invasion of Privacy,100% LatinX
Havana - Remix,Camila Cabello,Havana (Remix),100% LatinX
Sangria Wine,Pharrell Williams,Sangria Wine,100% LatinX
Nice & Slow,Nina Sky,Nice & Slow,100% LatinX
Finesse (Remix) [feat. Cardi B],Bruno Mars,Finesse (Remix) [feat. Cardi B],100% LatinX
Rock Your Body,Justin Timberlake,Justified,2000s Smash Hits
Toxic,Britney Spears,Greatest Hits: My Prerogative,2000s Smash Hits
Michael Jackson x Mark Ronson: Diamonds are Invincible,Michael Jackson,Michael Jackson x Mark Ronson: Diamonds are Invincible,2000s Smash Hits
Yeah!,Usher,Confessions (Special Edition),2000s Smash Hits
Hips Don't Lie,Shakira,Oral Fixation Vol. 2,2000s Smash Hits
Love Never Felt so Good,Michael Jackson,XSCAPE,2000s Smash Hits
We Can't Stop,Miley Cyrus,Bangerz (Deluxe Version),2000s Smash Hits
Hey Ya! - Radio Mix / Club Mix,OutKast,Speakerboxxx/The Love Below,2000s Smash Hits
TiK ToK,Kesha,Animal,2000s Smash Hits
Look At Me Now,Chris Brown,Look At Me Now,2000s Smash Hits
SexyBack,Justin Timberlake,FutureSex/LoveSounds,2000s Smash Hits
With You,Chris Brown,Exclusive,2000s Smash Hits
Bye Bye Bye,*NSYNC,No Strings Attached,2000s Smash Hits
Let Me Love You,Mario,Let Me Love You,2000s Smash Hits
Raise Your Glass,P!nk,Greatest Hits...So Far!!!,2000s Smash Hits
What Makes You Beautiful,One Direction,Up All Night,2000s Smash Hits
Womanizer,Britney Spears,Circus (Deluxe Version),2000s Smash Hits
Ms. Jackson,OutKast,Stankonia,2000s Smash Hits
Die Young,Kesha,Warrior (Deluxe Version),2000s Smash Hits
Oops!...I Did It Again,Britney Spears,Oops!... I Did It Again,2000s Smash Hits
Cry Me a River,Justin Timberlake,Justified,2000s Smash Hits
"One, Two Step",Ciara,Goodies,2000s Smash Hits
Wrecking Ball,Miley Cyrus,Bangerz (Deluxe Version),2000s Smash Hits
So What,P!nk,Funhouse,2000s Smash Hits
"Whenever, Wherever",Shakira,Laundry Service,2000s Smash Hits
It's Gonna Be Me,*NSYNC,No Strings Attached,2000s Smash Hits
My Boo,Usher,Confessions (Special Edition),2000s Smash Hits
Over My Head (Cable Car),The Fray,Over My Head (Cable Car),2000s Smash Hits
How to Save a Life,The Fray,How To Save A Life,2000s Smash Hits
Not Over You,Gavin DeGraw,Sweeter,2000s Smash Hits
Caught Up,Usher,Caught Up,2000s Smash Hits
You Found Me,The Fray,The Fray,2000s Smash Hits
Get The Party Started,P!nk,M!ssundaztood,2000s Smash Hits
I Don't Want to Be,Gavin DeGraw,Chariot - Stripped,2000s Smash Hits
The Way You Move (feat. Sleepy Brown) - Club Mix,OutKast,Speakerboxxx/The Love Below,2000s Smash Hits
Your Body Is a Wonderland,John Mayer,Room For Squares,2000s Smash Hits
Amor Prohibido,Selena,La Leyenda (Version Super Deluxe),50 Latin Classics
Hips Don't Lie,Shakira,Oral Fixation Vol. 2,50 Latin Classics
Mi Gente,J Balvin,Mi Gente,50 Latin Classics
Gasolina,Daddy Yankee,Barrio Fino (Bonus Track Version),50 Latin Classics
Livin' la Vida Loca,Ricky Martin,Ricky Martin,50 Latin Classics
My Generation - Stereo Version,The Who,My Generation,60s Rock Anthems
Hey Jude - Remastered 2015,The Beatles,1 (Remastered),60s Rock Anthems
Back In The U.S.S.R. - 2018 Mix,The Beatles,Back In The U.S.S.R.,60s Rock Anthems
I Heard It Through The Grapevine - Single Version (Mono),Marvin Gaye,Anthology: The Best Of Marvin Gaye,60s Rock Anthems
I Saw Her Standing There - Remastered 2009,The Beatles,Please Please Me (Remastered),60s Rock Anthems
Pinball Wizard,The Who,Tommy (Remastered 2013 Super Deluxe Edition),60s Rock Anthems
I Want To Hold Your Hand - Remastered 2015,The Beatles,1 (Remastered),60s Rock Anthems
Yesterday - Remastered 2009,The Beatles,Help! (Remastered),60s Rock Anthems
Revolution - Remastered,The Beatles,The Beatles 1967 - 1970 (Remastered),60s Rock Anthems
She Loves You - Mono / Remastered,The Beatles,1 (Remastered),60s Rock Anthems
With A Little Help From My Friends - Remastered 2009,The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Remastered),60s Rock Anthems
See Emily Play - 2016 Remastered Version,Pink Floyd,The Early Years 1965-1967 CAMBRIDGE ST/ATION,60s Rock Anthems
Free Fallin',Tom Petty,Full Moon Fever,70s & 80s Acoustic
Hotel California - Remastered,Eagles,Hotel California (Remastered),70s & 80s Acoustic
You've Got A Friend,James Taylor,Greatest Hits,70s & 80s Acoustic
I'm on Fire,Bruce Springsteen,Born In The U.S.A.,70s & 80s Acoustic
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,Honky Chateau,70s & 80s Acoustic
In The Air Tonight - 2015 Remastered,Phil Collins,Face Value (Deluxe Editon),70s & 80s Acoustic
Wicked Game - Remastered,Chris Isaak,Best Of Chris Isaak,70s & 80s Acoustic
Let It Be - Remastered 2009,The Beatles,Let It Be (Remastered),70s & 80s Acoustic
Across The Universe - Remastered 2009,The Beatles,Let It Be (Remastered),70s & 80s Acoustic
Hotel California - Remastered,Eagles,Hotel California (Remastered),70s Rock Anthems
