Artist_and_Track_Name,All_Streams,Position
Ed Sheeran - Shape of You,664199964,1
Luis Fonsi - Despacito - Remix,431558870,2
Kendrick Lamar - HUMBLE.,420979085,3
Lil Uzi Vert - XO TOUR Llif3,377239347,4
Post Malone - rockstar,339975074,5
Post Malone - Congratulations,338475941,6
French Montana - Unforgettable,337002873,7
DJ Khaled - I'm the One,327119659,8
Future - Mask Off,326848203,9
The Chainsmokers - Something Just Like This,321710642,10
Bruno Mars - That's What I Like,306473838,11
Luis Fonsi - Despacito (Featuring Daddy Yankee),302149463,12
Logic - 1-800-273-8255,279515600,13
"ZAYN - I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",279404597,14
Imagine Dragons - Believer,277146360,15
Kygo - It Ain't Me (with Selena Gomez),276921904,16
Imagine Dragons - Thunder,267926116,17
Zedd - Stay (with Alessia Cara),258924041,18
Charlie Puth - Attention,258845586,19
Khalid - Location,251502784,20
KYLE - iSpy (feat. Lil Yachty),246538105,21
James Arthur - Say You Won't Let Go,242882887,22
Migos - Bad and Boujee (feat. Lil Uzi Vert),236353800,23
The Chainsmokers - Paris,235292484,24
Camila Cabello - Havana,235064455,25
Julia Michaels - Issues,226867330,26
The Chainsmokers - Closer,224296519,27
Dua Lipa - New Rules,223157777,28
J Balvin - Mi Gente,221886664,29
DJ Khaled - Wild Thoughts,219954344,30
Drake - Passionfruit,216575360,31
The Weeknd - Starboy,214289559,32
Ed Sheeran - Perfect,213026711,33
Shawn Mendes - There's Nothing Holdin' Me Back,212126518,34
Jason Derulo - Swalla (feat. Nicki Minaj & Ty Dolla $ign),212054811,35
Liam Payne - Strip That Down,211354558,36
Calvin Harris - Slide,209378728,37
Kendrick Lamar - DNA.,208081503,38
Travis Scott - goosebumps,205171212,39
Khalid - Young Dumb & Broke,204256378,40
21 Savage - Bank Account,201142138,41
Drake - Fake Love,196529001,42
Big Sean - Bounce Back,194987739,43
Childish Gambino - Redbone,194858012,44
Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie),190899568,45
The Weeknd - I Feel It Coming,187445017,46
Ed Sheeran - Castle on the Hill,181376908,47
Demi Lovato - Sorry Not Sorry,181293322,48
Marshmello - Silence,177274763,49
Ed Sheeran - Galway Girl,175136035,50
Calvin Harris - Feels,174289284,51
Sam Hunt - Body Like A Back Road,173783617,52
Martin Garrix - Scared to Be Lonely,172449101,53
Clean Bandit - Symphony (feat. Zara Larsson),171815493,54
Starley - Call On Me - Ryan Riback Extended Remix,164989098,55
Maroon 5 - What Lovers Do (feat. SZA),162566162,56
David Guetta - 2U (feat. Justin Bieber),160820606,57
Kodak Black - Tunnel Vision,159794100,58
Migos - Slippery (feat. Gucci Mane),158767180,59
Kendrick Lamar - LOVE. FEAT. ZACARI.,156634508,60
Migos - T-Shirt,155475626,61
Lauv - I Like Me Better,154953391,62
Axwell /\ Ingrosso - More Than You Know,154832207,63
Travis Scott - Butterfly Effect,153191235,64
Lil Pump - Gucci Gang,151384607,65
Drake - One Dance,150756446,66
Jonas Blue - Mama,150191706,67
Cardi B - Bodak Yellow,149539575,68
Macklemore - Glorious (feat. Skylar Grey),142476963,69
Niall Horan - Slow Hands,140716563,70
Portugal. The Man - Feel It Still,139989284,71
ZAYN - Dusk Till Dawn - Radio Edit,139834744,72
A Boogie Wit da Hoodie - Drowning (feat. Kodak Black),139563057,73
Taylor Swift - Look What You Made Me Do,138685027,74
Drake - Portland,138663587,75
Maggie Lindemann - Pretty Girl - Cheat Codes X CADE Remix,135075327,76
Kendrick Lamar - LOYALTY. FEAT. RIHANNA.,132146028,77
Bruno Mars - 24K Magic,130769332,78
Aminé - Caroline,130512569,79
Rae Sremmurd - Swang,129702314,80
Halsey - Now Or Never,125015221,81
"Alessia Cara - How Far I'll Go - From ""Moana""",124384992,82
Playboi Carti - Magnolia,124186432,83
Post Malone - I Fall Apart,123983814,84
Cheat Codes - No Promises (feat. Demi Lovato),123560128,85
AJR - Weak,121420770,86
DRAM - Broccoli (feat. Lil Yachty),119896023,87
Martin Jensen - Solo Dance,118929695,88
XXXTENTACION - Look At Me!,116084628,89
Shakira - Chantaje,114341783,90
NF - Let You Down,113146085,91
DJ Snake - Let Me Love You,112482365,92
Hailee Steinfeld - Starving,112420491,93
Justin Bieber - Friends (with BloodPop®),110929737,94
Martin Garrix - There for You,110614572,95
Danny Ocean - Me Rehúso,110604157,96
XXXTENTACION - Jocelyn Flores,109952828,97
Post Malone - Go Flex,109479433,98
Rae Sremmurd - Black Beatles,106174003,99
21 Savage - X (feat. Future),105324745,100
Maluma - Felices los 4,105305714,101
Post Malone - White Iverson,104026315,102
Harry Styles - Sign of the Times,100641770,103
Machine Gun Kelly - Bad Things (with Camila Cabello),100386185,104
Post Malone - Candy Paint,98999206,105
Rita Ora - Your Song,98710557,106
Chance The Rapper - No Problem (feat. Lil Wayne & 2 Chainz),98452386,107
SZA - Love Galore,97862484,108
Selena Gomez - Wolves,97748411,109
Jon Bellion - All Time Low,97010616,110
Maroon 5 - Cold,96447319,111
Katy Perry - Chained To The Rhythm,96332813,112
Enrique Iglesias - SUBEME LA RADIO,95663980,113
Maroon 5 - Don't Wanna Know,94932866,114
Jax Jones - You Don't Know Me - Radio Edit,94859340,115
Louis Tomlinson - Back to You (feat. Bebe Rexha & Digital Farm Animals),94820135,116
Selena Gomez - Bad Liar,93036063,117
Gucci Mane - I Get The Bag (feat. Migos),92693672,118
Miley Cyrus - Malibu,92539042,119
The Chainsmokers - Don't Let Me Down,92422161,120
2 Chainz - It's A Vibe,91452192,121
"Hailee Steinfeld - Let Me Go (with Alesso, Florida Georgia Line & watt)",91444689,122
Sam Smith - Too Good At Goodbyes,91381589,123
Russ - Losin Control,88814901,124
Drake - Gyalchester,88534934,125
Avicii - Lonely Together (feat. Rita Ora),88338479,126
blackbear - do re mi,88165841,127
Kendrick Lamar - ELEMENT.,87576249,128
J. Cole - No Role Modelz,86890451,129
Sam Smith - Too Good At Goodbyes - Edit,86267147,130
Lil Uzi Vert - The Way Life Goes (feat. Oh Wonder),85600796,131
Young Thug - pick up the phone,84119920,132
Yo Gotti - Rake It Up,83958247,133
Ariana Grande - Side To Side,83507130,134
Major Lazer - Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),83210697,135
Martin Garrix - In the Name of Love,82620574,136
Hailee Steinfeld - Most Girls,82590989,137
Burak Yeter - Tuesday,82351123,138
Lil Uzi Vert - Money Longer,81332521,139
The Vamps - All Night,81010533,140
G-Eazy - No Limit,80837576,141
Ayo & Teo - Rolex,80540479,142
Kygo - First Time,80332020,143
